ATTRIBUTE	TYPE
donor_id	group
species	group
species__ontology_label	group
ethnicity	group
ethnicity__ontology_label	group
race	group
race__ontology_label	group
mouse_strain	group
mouse_strain__ontology_label	group
vaccination	group
vaccination__ontology_label	group
vaccination__route	group
vaccination__dosage	group
vaccination__adjuvants	group
vaccination__time_since	numeric
vaccination__time_since__unit	group
vaccination__time_since__unit_label	group
sex	group
is_living	group
geographical_region	group
geographical_region__ontology_label	group
mhc_genotype	group
organism_age	numeric
organism_age__unit	group
organism_age__unit_label	group
bmi	numeric
biosample_id	group
organ	group
organ__ontology_label	group
sample_type	group
culture_duration	numeric
culture_duration__unit	group
culture_duration__unit_label	group
enrichment_method	group
enrichment__cell_type	group
enrichment__cell_type__ontology_label	group
enrichment__facs_markers	group
disease	group
disease__ontology_label	group
disease__time_since_onset	numeric
disease__time_since_onset__unit	group
disease__time_since_onset__unit_label	group
disease__treated	group
disease__treatment	group
disease__time_since_treatment_start	numeric
disease__time_since_treatment_start__unit	group
disease__time_since_treatment_start__unit_label	group
disease__intracellular_pathogen	group
disease__intracellular_pathogen__ontology_label	group
spike_in_kit	group
spike_in_concentration	group
development_stage	group
development_stage__ontology_label	group
end_bias	group
library_preparation_protocol	group
library_preparation_protocol__ontology_label	group
primer	group
strand	group
sequencing_instrument_manufacturer_model	group
sequencing_instrument_manufacturer_model__ontology_label	group
paired_ends	group
read_length	group
small_molecule_perturbation	group
small_molecule_perturbation__ontology_label	group
small_molecule_perturbation__concentration	numeric
small_molecule_perturbation__concentration__unit	group
small_molecule_perturbation__concentration__unit_label	group
small_molecule_perturbation__solvent	group
small_molecule_perturbation__source	group
growth_factor_perturbation	group
growth_factor_perturbation__ontology_label	group
growth_factor_perturbation__concentration	numeric
growth_factor_perturbation__concentration__unit	group
growth_factor_perturbation__concentration__unit_label	group
growth_factor_perturbation__solvent	group
growth_factor_perturbation__source	group
gene_perturbation	group
gene_perturbation__ontology_label	group
gene_perturbation__method	group
gene_perturbation__direction	group
gene_perturbation__dynamics	group
cell_id	group
cell_type	group
cell_type__ontology_label	group
number_of_reads	numeric
project_status	group
researchers	group
